Catagory,Popular food
African,No
"African, Bar",No
"African, Ethiopian",No
"African, International",No
"African, Mediterranean",No
"African, Middle Eastern",No
"African, Moroccan",No
"African, Nigerian",No
"African, Wine Bar",No
American,No
"American, Asian",No
"American, Australian",No
"American, Bar",No
"American, Barbecue",No
"American, Brew Pub",No
"American, British",No
"American, Cafe",No
"American, Cajun & Creole",Greek
"American, Caribbean",No
"American, Contemporary",No
"American, Deli",No
"American, Diner",No
"American, Dining bars",No
"American, European",No
"American, Fast Food",No
"American, Filipino",No
"American, French",Mixed Grill
"American, Fusion",No
"American, Gastropub",No
"American, German",No
"American, Greek",No
"American, Grill",No
"American, Healthy",No
"American, Indian",No
"American, International",No
"American, Irish",No
"American, Israeli",No
"American, Italian",No
"American, Japanese",pace
"American, Latin",No
"American, Mediterranean",No
"American, Middle Eastern",No
"American, Pizza",No
"American, Pub",No
"American, Seafood",No
"American, Soups",No
"American, Southwestern",Crab Cakes
"American, Spanish",No
"American, Steakhouse",No
"American, Street Food",No
"American, Sushi",No
"American, Swiss",fries
"American, Wine Bar",No
Arabic,No
"Argentinean, Brazilian",No
"Argentinean, South American",No
Asian,No
"Asian, American",No
"Asian, Bar",No
"Asian, Burmese",ribeye
"Asian, Cambodian",No
"Asian, Chinese",No
"Asian, Contemporary",No
"Asian, Fusion",No
"Asian, Healthy",sashimi
"Asian, Indonesian",No
"Asian, International",No
"Asian, Japanese",No
"Asian, Korean",No
"Asian, Malaysian",No
"Asian, Nepali",No
"Asian, Seafood",No
"Asian, Singaporean",No
"Asian, Soups",No
"Asian, Steakhouse",No
"Asian, Street Food",dumplings
"Asian, Sushi",No
"Asian, Taiwanese",No
"Asian, Thai",No
"Asian, Vietnamese",No
"Asian, Wine Bar",carbonara
Australian,No
"Australian, American",No
"Austrian, Cafe",dumplings
"Austrian, European",No
Bar,No
"Bar, American",No
"Bar, Asian",No
"Bar, Barbecue",Huevos rancheros
"Bar, Brazilian",Crab Cakes
"Bar, British",Great Mexican Food
"Bar, Cafe",No
"Bar, Contemporary",No
"Bar, Dining bars",No
"Bar, European",No
"Bar, Fast Food",No
"Bar, French",No
"Bar, Greek",pizza
"Bar, Grill",carbonara
"Bar, International",No
"Bar, Irish",No
"Bar, Italian",No
"Bar, Japanese",No
"Bar, Mediterranean",No
"Bar, Mexican",Dim Sum
"Bar, Middle Eastern",steak
"Bar, Pizza",dumplings
"Bar, Pub",No
"Bar, Russian",No
"Bar, Seafood",No
"Bar, Soups",No
"Bar, Spanish",No
"Bar, Sushi",Garden
"Bar, Wine Bar",No
Barbecue,No
"Barbecue, American",No
"Barbecue, Asian",No
"Barbecue, Steakhouse",No
"Barbecue, Vietnamese",No
Belgian,No
"Belgian, Bar",ribeye
"Belgian, European",No
"Belgian, Street Food",Tempura
"Brazilian, Cafe",Crab Cakes
"Brazilian, Korean",No
"Brazilian, Latin",No
"Brazilian, South American",No
"Brew Pub, Bar",No
British,No
"British, Central Asian",Pizza
Cafe,No
"Cafe, American",No
"Cafe, Asian",No
"Cafe, Australian",Australia
"Cafe, Bar",No
"Cafe, Central Asian",No
"Cafe, Contemporary",ribeye
"Cafe, Deli",No
"Cafe, Diner",No
"Cafe, European",No
"Cafe, Fast Food",No
"Cafe, Greek",No
"Cafe, Healthy",No
"Cafe, International",No
"Cafe, Israeli",No
"Cafe, Italian",No
"Cafe, Japanese",No
"Cafe, Latin",No
"Cafe, Mediterranean",No
"Cafe, Street Food",No
"Cafe, Sushi",No
Cajun & Creole,No
"Cajun & Creole, Seafood",No
"Canadian, International",No
Caribbean,No
"Caribbean, Asian",No
"Caribbean, Bar",No
"Caribbean, Cafe",No
"Caribbean, Cuban",No
"Caribbean, Fast Food",No
"Caribbean, French",No
"Caribbean, Healthy",No
"Caribbean, Jamaican",No
"Caribbean, Latin",No
"Caribbean, Pub",Dumplings
"Caribbean, Puerto Rican",No
"Caribbean, Seafood",No
"Caribbean, Spanish",No
"Central American, South American",udon
"Central Asian, Uzbek",No
"Chilean, South American",No
Chinese,No
"Chinese, American",No
"Chinese, Asian",No
"Chinese, Bar",Crab Cakes
"Chinese, Barbecue",Crab Cakes
"Chinese, Cafe",No
"Chinese, Cajun & Creole",No
