Title,Catagory,Number of review
Benjamin Steakhouse,African,2490
Cafe Mezz,African,39
Fishmarket Restaurant,African,37
Black Door,African,23
Cafe Pierre,African,22
Ez Paella & Tapas,African,10
Sushi Noz,African,5
sweetgreen,African,0
Punjabi Diner,African,0
New Aroma Chinese Restaurant,African,0
Hummus Kitchen,"African, Bar",76
Salumeria Rosi,"African, Ethiopian",400
Bukhara Grill,"African, Ethiopian",213
Meske,"African, Ethiopian",134
Meskerem Ethiopian Cuisine,"African, Ethiopian",91
Ben & Jack's Steakhouse,"African, Ethiopian",87
Zoma,"African, Ethiopian",57
Massawa,"African, Ethiopian",46
Malachy's Donegal Inn,"African, Ethiopian",39
Tsion Cafe,"African, Ethiopian",27
La Vera Pizzeria,"African, International",41
Kibo Japanese Grill,"African, Mediterranean",7
China Moon,"African, Middle Eastern",30
Latin American Restaurant,"African, Moroccan",5
Fong On Inc,"African, Nigerian",6
Kaia Wine Bar,"African, Wine Bar",48
Westville Hudson,American,13257
Hard Rock Cafe,American,9244
Olive Garden Italian Restaurant,American,4573
Tick Tock Diner NY,American,4039
Loeb Boathouse Central Park,American,3863
Gramercy Tavern,American,3742
Red Lobster,American,3679
Sarabeth's,American,3409
Trattoria Trecolori,American,2812
Benjamin Steakhouse,American,2490
Lucky's Breakfast Diner,"American, Asian",425
Macbar,"American, Asian",86
The Crown,"American, Asian",36
The Halal Guys,"American, Asian",27
Pie,"American, Asian",26
Lezzet Mediterranean Turkish Restaurant,"American, Asian",17
Zen Restaurant,"American, Asian",14
Whistle & Fizz,"American, Asian",6
Prince Tea House,"American, Asian",2
Zazzy's Pizza,"American, Asian",0
Perrine,"American, Australian",112
Pizza Collective,"American, Australian",8
Virgil's Real BBQ - Times Square,"American, Bar",4769
230 Fifth,"American, Bar",4039
Bill's Bar & Burger,"American, Bar",3896
Tavern on the Green,"American, Bar",3475
Red Rooster Harlem,"American, Bar",2601
Sylvia's Restaurant,"American, Bar",2112
Carmine's Italian Restaurant - Upper West Side,"American, Bar",1937
The Standard Grill,"American, Bar",1841
The Smith,"American, Bar",1829
Gotham Restaurant,"American, Bar",1762
Dallas BBQ,"American, Barbecue",530
The Crooked Knife,"American, Barbecue",294
Dallas BBQ,"American, Barbecue",152
Dos Toros Taqueria,"American, Barbecue",55
Treadwell Park,"American, Barbecue",44
Cupid's Wings,"American, Barbecue",24
Tartinery,"American, Barbecue",23
The Wing Dynasty,"American, Barbecue",20
Botequim,"American, Barbecue",16
Chocolat Restaurant & Bar,"American, Barbecue",10
Pret A Manger,"American, Brew Pub",10
Toast Bar & Restaurant,"American, Brew Pub",7
The Campbell,"American, British",270
Cafe Zaiya,"American, British",11
Pershing Square Restaurant,"American, Cafe",2599
Andrews Coffee Shop,"American, Cafe",2362
Ess-a-Bagel,"American, Cafe",1770
Clinton St. Baking Company & Restaurant,"American, Cafe",1513
Penelope,"American, Cafe",1253
Sea Fire Grill,"American, Cafe",1137
Lupa Osteria Romana,"American, Cafe",983
Lao Shen Hot Pot,"American, Cafe",983
Kellari Taverna NY,"American, Cafe",924
Beer Authority,"American, Cafe",865
Momoya Soho,"American, Cajun & Creole",9
Elmo,"American, Caribbean",312
Don Giovanni Ristorante,"American, Caribbean",263
Park avenue convenient curb,"American, Caribbean",263
Thai Food Near Me,"American, Caribbean",225
